ID,Trial,A,B,Answer,Result
007_e,0,-0.20,0.30,B,True
007_e,1,0.30,-0.20,A,True
007_e,2,-0.10,0.30,B,True
007_e,3,0.30,-0.10,A,True
007_e,4,0.00,0.30,B,True
007_e,5,0.00,0.30,B,True
007_e,6,0.10,0.30,B,True
007_e,7,0.30,0.10,A,True
007_e,8,0.30,0.20,A,True
007_e,9,0.20,0.30,B,True
007_e,10,0.30,0.30,A,False
007_e,11,0.20,0.30,A,False
007_e,12,0.30,0.10,A,True
007_e,13,0.30,0.10,A,True
007_e,14,0.20,0.30,B,True
007_e,15,0.30,0.20,A,True
007_e,16,0.30,0.30,B,False
007_e,17,0.30,0.28,B,False
007_e,18,0.30,0.26,A,True
007_e,19,0.30,0.26,B,False
007_e,20,0.24,0.30,B,True
007_e,21,0.24,0.30,B,True
007_e,22,0.26,0.30,B,True
007_e,23,0.30,0.26,B,False
007_e,24,0.30,0.24,A,True
007_e,25,0.30,0.24,B,False
007_e,26,0.30,0.22,A,True
007_e,27,0.30,0.22,B,False
007_e,28,0.20,0.30,B,True
007_e,29,0.20,0.30,B,True
007_e,30,0.30,0.22,A,True
007_e,31,0.30,0.22,A,True
007_e,32,0.30,0.24,A,True
007_e,33,0.30,0.24,B,False
007_e,34,0.30,0.22,A,True
007_e,35,0.30,0.22,B,False
007_e,36,0.30,0.20,A,True
007_e,37,0.20,0.30,B,True
007_e,38,0.30,0.22,A,True
007_e,39,0.22,0.30,B,True
007_e,40,0.30,0.24,A,True
007_e,41,0.24,0.30,B,True
007_e,42,0.26,0.30,A,False
007_e,43,0.30,0.24,B,False
-0.2,-0.2,-0.1,-0.1,0,0,0.1,0.1,0.2,0.2,0.3,0.2,0.1,0.1,0.2,0.2,0.3,0.28,0.26,0.26,0.24,0.24,0.26,0.26,0.24,0.24,0.22,0.22,0.2,0.2,0.22,0.22,0.24,0.24,0.22,0.22,0.2,0.2,0.22,0.22,0.24,0.24,0.26,0.24
0.3,0.1,0.3,0.24,0.26,0.2,0.24,0.2,0.26
0.225

