ID,Trial,A,B,Answer,Result
006_e,0,-0.20,0.30,A,False
006_e,1,-0.30,0.30,B,True
006_e,2,-0.30,0.30,B,True
006_e,3,-0.20,0.30,B,True
006_e,4,-0.20,0.30,B,True
006_e,5,-0.10,0.30,B,True
006_e,6,0.30,-0.10,A,True
006_e,7,0.00,0.30,B,True
006_e,8,0.30,0.00,A,True
006_e,9,0.10,0.30,B,True
006_e,10,0.30,0.10,A,True
006_e,11,0.20,0.30,B,True
006_e,12,0.20,0.30,A,False
006_e,13,0.18,0.30,A,False
006_e,14,0.16,0.30,B,True
006_e,15,0.16,0.30,B,True
006_e,16,0.18,0.30,B,True
006_e,17,0.18,0.30,B,True
006_e,18,0.30,0.20,A,True
006_e,19,0.20,0.30,B,True
006_e,20,0.30,0.22,B,False
006_e,21,0.20,0.30,A,False
006_e,22,0.30,0.18,A,True
006_e,23,0.18,0.30,B,True
006_e,24,0.20,0.30,A,False
006_e,25,0.18,0.30,B,True
006_e,26,0.30,0.18,A,True
006_e,27,0.30,0.20,A,True
006_e,28,0.20,0.30,B,True
006_e,29,0.30,0.22,A,True
006_e,30,0.30,0.22,A,True
006_e,31,0.30,0.24,A,True
006_e,32,0.24,0.30,B,True
006_e,33,0.30,0.26,A,True
006_e,34,0.26,0.30,A,False
006_e,35,0.30,0.24,A,True
-0.2,-0.3,-0.3,-0.2,-0.2,-0.1,-0.1,-1.490116E-08,-1.490116E-08,0.09999999,0.09999999,0.2,0.2,0.18,0.16,0.16,0.18,0.18,0.2,0.2,0.22,0.2,0.18,0.18,0.2,0.18,0.18,0.2,0.2,0.22,0.22,0.24,0.24,0.26,0.26,0.24
-0.2,-0.3,0.2,0.16,0.22,0.18,0.2,0.18,0.26
0.205

