ID,Trial,A,B,Answer,Result
010_e,0,0.30,-0.20,A,True
010_e,1,-0.20,0.30,B,True
010_e,2,-0.10,0.30,B,True
010_e,3,-0.10,0.30,B,True
010_e,4,0.30,0.00,A,True
010_e,5,0.30,0.00,A,True
010_e,6,0.10,0.30,B,True
010_e,7,0.10,0.30,B,True
010_e,8,0.30,0.20,A,True
010_e,9,0.30,0.20,A,True
010_e,10,0.30,0.30,A,False
010_e,11,0.20,0.30,B,True
010_e,12,0.20,0.30,B,True
010_e,13,0.30,0.30,B,False
010_e,14,0.30,0.28,B,False
010_e,15,0.26,0.30,B,True
010_e,16,0.30,0.26,A,True
010_e,17,0.28,0.30,B,True
010_e,18,0.28,0.30,B,True
010_e,19,0.30,0.30,B,False
010_e,20,0.30,0.28,B,False
010_e,21,0.26,0.30,A,False
010_e,22,0.30,0.24,B,False
010_e,23,0.30,0.22,B,False
010_e,24,0.20,0.30,B,True
010_e,25,0.20,0.30,B,True
010_e,26,0.30,0.22,B,False
010_e,27,0.30,0.20,A,True
010_e,28,0.30,0.20,A,True
010_e,29,0.22,0.30,B,True
010_e,30,0.30,0.22,B,False
010_e,31,0.30,0.20,A,True
-0.2,-0.2,-0.1,-0.1,0,0,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.3,0.28,0.26,0.26,0.28,0.28,0.3,0.28,0.26,0.24,0.22,0.2,0.2,0.22,0.2,0.2,0.22,0.22,0.2
0.3,0.2,0.3,0.26,0.3,0.2,0.22,0.2,0.22
0.21

