ID,Trial,A,B,Answer,Result
008_a,0,-2.70,-2.00,A,True
008_a,1,-2.70,-2.00,A,True
008_a,2,-2.10,-2.70,B,True
008_a,3,-2.10,-2.70,B,True
008_a,4,-2.20,-2.70,B,True
008_a,5,-2.20,-2.70,A,False
008_a,6,-2.70,-2.10,A,True
008_a,7,-2.70,-2.10,A,True
008_a,8,-2.20,-2.70,B,True
008_a,9,-2.20,-2.70,B,True
008_a,10,-2.70,-2.30,A,True
008_a,11,-2.70,-2.30,A,True
008_a,12,-2.40,-2.70,A,False
008_a,13,-2.70,-2.38,B,False
008_a,14,-2.36,-2.70,B,True
008_a,15,-2.70,-2.36,B,False
008_a,16,-2.34,-2.70,B,True
008_a,17,-2.70,-2.34,B,False
008_a,18,-2.32,-2.70,B,True
008_a,19,-2.32,-2.70,B,True
008_a,20,-2.34,-2.70,B,True
008_a,21,-2.70,-2.34,B,False
008_a,22,-2.32,-2.70,A,False
008_a,23,-2.30,-2.70,B,True
008_a,24,-2.30,-2.70,B,True
008_a,25,-2.70,-2.32,A,True
008_a,26,-2.32,-2.70,B,True
008_a,27,-2.34,-2.70,B,True
008_a,28,-2.70,-2.34,A,True
008_a,29,-2.36,-2.70,A,False
008_a,30,-2.34,-2.70,B,True
008_a,31,-2.34,-2.70,B,True
008_a,32,-2.36,-2.70,B,True
008_a,33,-2.36,-2.70,B,True
008_a,34,-2.38,-2.70,B,True
008_a,35,-2.70,-2.38,A,True
008_a,36,-2.40,-2.70,B,True
008_a,37,-2.40,-2.70,A,False
008_a,38,-2.38,-2.70,A,False
-2,-2,-2.1,-2.1,-2.2,-2.2,-2.1,-2.1,-2.2,-2.2,-2.3,-2.3,-2.4,-2.38,-2.36,-2.36,-2.34,-2.34,-2.32,-2.32,-2.34,-2.34,-2.32,-2.3,-2.3,-2.32,-2.32,-2.34,-2.34,-2.36,-2.34,-2.34,-2.36,-2.36,-2.38,-2.38,-2.4,-2.4,-2.38
-2.2,-2.1,-2.4,-2.32,-2.34,-2.3,-2.36,-2.34,-2.4
-2.35

