ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_c,44,-1.2,-1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_c,45,-1.3,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_c,46,-1.2,-1.28,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_c,47,-1.2,-1.28,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_c,48,-1.2,-1.26,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_c,49,-1.2,-1.26,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_c,50,-1.24,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_c,51,-1.24,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009_c,52,-1.2,-1.26,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.8,-1.8,-1.7,-1.7,-1.6,-1.6,-1.5,-1.5,-1.4,-1.4,-1.5,-1.5,-1.4,-1.4,-1.42,-1.42,-1.4,-1.4,-1.38,-1.38,-1.36,-1.36,-1.34,-1.34,-1.32,-1.32,-1.3,-1.3,-1.28,-1.28,-1.26,-1.28,-1.3,-1.3,-1.28,-1.28,-1.26,-1.26,-1.24,-1.26,-1.28,-1.3,-1.32,-1.32,-1.3,-1.3,-1.28,-1.28,-1.26,-1.26,-1.24,-1.24,-1.26
-1.4,-1.5,-1.4,-1.42,-1.26,-1.3,-1.24,-1.32,-1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
