ID,Trial,A,B,Answer,Result
005_c,0,-1.80,-1.20,B,True
005_c,1,-1.20,-1.80,A,True
005_c,2,-1.20,-1.70,A,True
005_c,3,-1.20,-1.70,A,True
005_c,4,-1.60,-1.20,A,False
005_c,5,-1.70,-1.20,A,False
005_c,6,-1.80,-1.20,A,False
005_c,7,-1.90,-1.20,B,True
005_c,8,-1.90,-1.20,B,True
005_c,9,-1.80,-1.20,B,True
005_c,10,-1.20,-1.80,A,True
005_c,11,-1.20,-1.70,A,True
005_c,12,-1.70,-1.20,B,True
005_c,13,-1.20,-1.60,A,True
005_c,14,-1.20,-1.60,A,True
005_c,15,-1.50,-1.20,B,True
005_c,16,-1.20,-1.50,B,False
005_c,17,-1.20,-1.52,A,True
005_c,18,-1.52,-1.20,B,True
005_c,19,-1.50,-1.20,B,True
005_c,20,-1.20,-1.50,A,True
005_c,21,-1.20,-1.48,B,False
005_c,22,-1.50,-1.20,B,True
005_c,23,-1.50,-1.20,B,True
005_c,24,-1.48,-1.20,A,False
005_c,25,-1.20,-1.50,A,True
005_c,26,-1.20,-1.50,A,True
005_c,27,-1.48,-1.20,B,True
005_c,28,-1.48,-1.20,B,True
005_c,29,-1.46,-1.20,A,False
005_c,30,-1.48,-1.20,B,True
-1.8,-1.8,-1.7,-1.7,-1.6,-1.7,-1.8,-1.9,-1.9,-1.8,-1.8,-1.7,-1.7,-1.6,-1.6,-1.5,-1.5,-1.52,-1.52,-1.5,-1.5,-1.48,-1.5,-1.5,-1.48,-1.5,-1.5,-1.48,-1.48,-1.46,-1.48
-1.6,-1.9,-1.5,-1.52,-1.48,-1.5,-1.48,-1.5,-1.46
-1.485

