ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,45,-1.54,-2.4,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,46,-1.52,-2.4,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,47,-1.52,-2.4,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,48,-2.4,-1.5,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,49,-1.5,-2.4,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,50,-2.4,-1.52,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,51,-1.52,-2.4,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,52,-2.4,-1.54,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.2,-1.2,-1.3,-1.3,-1.4,-1.4,-1.3,-1.3,-1.4,-1.4,-1.5,-1.5,-1.4,-1.4,-1.5,-1.5,-1.6,-1.6,-1.58,-1.56,-1.54,-1.54,-1.56,-1.56,-1.54,-1.52,-1.52,-1.54,-1.54,-1.56,-1.56,-1.58,-1.58,-1.56,-1.56,-1.58,-1.56,-1.54,-1.52,-1.5,-1.5,-1.52,-1.52,-1.54,-1.54,-1.52,-1.52,-1.5,-1.5,-1.52,-1.52,-1.54,-1.52
-1.4,-1.3,-1.5,-1.4,-1.6,-1.54,-1.56,-1.52,-1.58,-1.56,-1.58,-1.5,-1.54,-1.5,-1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
