ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,41,-1.2,-1.1,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,42,-1.08,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,43,-1.2,-1.08,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,44,-1.1,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,45,-1.2,-1.08,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,46,-1.2,-1.08,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,47,-1.2,-1.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,48,-1.1,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,49,-1.12,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,50,-1.12,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,51,-1.14,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,52,-1.14,-1.2,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,53,-1.2,-1.16,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,54,-1.2,-1.16,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,55,-1.2,-1.18,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,56,-1.2,-1.16,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,57,-1.2,-1.14,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,58,-1.2,-1.14,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_D,59,-1.16,-1.2,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6,-0.6,-0.7,-0.7,-0.8000001,-0.8000001,-0.9000001,-0.9000001,-1,-1,-1.1,-1.1,-1.2,-1.1,-1,-1,-1.1,-1.1,-1.2,-1.1,-1,-1,-1.1,-1.1,-1.08,-1.08,-1.1,-1.08,-1.08,-1.06,-1.06,-1.08,-1.08,-1.1,-1.1,-1.12,-1.12,-1.14,-1.12,-1.12,-1.1,-1.08,-1.08,-1.1,-1.08,-1.08,-1.1,-1.1,-1.12,-1.12,-1.14,-1.14,-1.16,-1.16,-1.18,-1.16,-1.14,-1.14,-1.16,-1.14
-1.2,-1,-1.2,-1,-1.1,-1.08,-1.1,-1.06,-1.14,-1.08,-1.1,-1.08,-1.18,-1.14,-1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
